"species","gid"
"Tetrorchidium_bulbipilosum",90027
"Tetrorchidium_costaricense",90028
"Tetrorchidium_dusenii",90029
"Tetrorchidium_euryphyllum",90030
"Thelypteris_blepharis",90213
"Tetrorchidium_hirsutum",90031
"Tetrorchidium_macrophyllum",90032
"Tetrorchidium_ochroleucum",90033
"Tetrorchidium_parvulum",90034
"Tetrorchidium_robledoanum",90035
"Tetrorchidium_trichotocarpum",90038
"Teucrium_bicolor",90039
"Teucrium_botrys",90040
"Teucrium_chamaedrys",90042
"Teucrium_cossonii",90043
"Teucrium_cubense",90044
"Teucrium_flavum",90045
"Teucrium_fruticans",90046
"Teucrium_glandulosum",90047
"Teucrium_grisebachii",90048
"Teucrium_halacsyanum",90049
"Thalictrum_lankesteri",90099
"Teucrium_nudicaule",90050
"Teucrium_orientale",90051
"Teucrium_rotundifolium",90052
"Teucrium_scorodonia",90053
"Teucrium_townsendii",90054
"Teucrium_vesicarium",90055
"Teuscheria_cornucopia",90056
"Teuscheria_dodsonii",90057
"Teucrium_marum",90064
"Thalia_geniculata",90065
"Thalictrum_arsenii",90066
"Thalictrum_brevisericeum",90067
"Thalictrum_campylopodum",90068
"Thalictrum_cincinnatum",90069
"Thalictrum_cooleyi",90075
"Thalictrum_hintonii",90096
"Thalictrum_ichangense",90097
"Thalictrum_laeteviride",90098
"Thaspium_trifoliatum",90149
"Thalictrum_panamense",90100
"Thalictrum_papyraceum",90101
"Thelypteris_brachypus",90214
"Thelypteris_brausei",90215
"Teucrium_laciniatum",90062
"Teucrium_lucidum",90063
"Thalictrum_clavatum",90070
"Thalictrum_confine",90071
"Thalictrum_macrostylum",90072
"Thalictrum_pachucense",90073
"Thalictrum_sparsiflorum",90074
"Thalictrum_occidentale",90082
"Thamniopsis_purpureophylla",90130
"Thalictrum_coriaceum",90076
"Thalictrum_cuernavacanum",90077
"Thalictrum_dasycarpum",90078
"Thalictrum_minus",90079
"Thalictrum_mirabile",90080
"Thalictrum_nigromontanum",90081
"Thalictrum_debile",90084
"Thalictrum_delavayi",90086
"Thalictrum_fendleri",90088
"Thalictrum_galeottii",90089
"Thalictrum_gibbosum",90090
"Thalictrum_grandiflorum",90091
"Thalictrum_grandifolium",90092
"Thalictrum_guatemalense",90093
"Thalictrum_heliophilum",90094
"Thelypteris_acuminata",90220
"Thalictrum_peltatum",90102
"Thalictrum_pinnatum",90103
"Thalictrum_podocarpum",90104
"Thalictrum_polycarpum",90105
"Thalictrum_strigillosum",90114
"Thalictrum_subpubescens",90115
"Thalictrum_terrae_novae",90116
"Thalictrum_texanum",90117
"Thalictrum_venturii",90118
"Thalictrum_venulosum",90119
"Thalictrum_vesiculosum",90120
"Thalictrum_wrightii",90121
"Thamniopsis_colombica",90122
"Thamniopsis_gradsteinii",90123
"Thamniopsis_guatemalensis",90124
"Thamniopsis_incurva",90125
"Thamniopsis_killipii",90126
"Thamniopsis_langsdorffii",90127
"Thamniopsis_sinuata",90131
"Thamniopsis_stenodictyon",90132
"Thamniopsis_undata",90133
"Thamnobryum_alleghaniense",90134
"Thamnobryum_liesneri",90135
"Thelomma_occidentale",90186
"Thelomma_ocellatum",90187
"Thalictrum_pringlei",90106
"Thalictrum_pubescens",90107
